"COL0","COL1","COL2","COL3"
"4620395.02",3445.00,520.00,835.00
"4620395.03",2725.00,270.00,415.00
"4620396.00",3110.00,235.00,530.00
"4620397.00",2115.00,55.00,310.00
"4620400.00",2650.00,75.00,180.00
"4620401.00",1440.00,25.00,110.00
"4620402.00",940.00,15.00,110.00
"4620403.00",2410.00,105.00,175.00
"4620404.00",2245.00,50.00,190.00
"4620410.01",2765.00,320.00,515.00
"4620410.02",2540.00,140.00,310.00
"4620410.03",975.00,160.00,120.00
"4620412.00",3830.00,325.00,675.00
"4620413.01",1770.00,80.00,225.00
"4620413.02",1940.00,215.00,420.00
"4620415.03",2190.00,230.00,395.00
"4620415.04",2495.00,270.00,515.00
"4620415.05",4460.00,145.00,430.00
"4620415.06",4555.00,115.00,340.00
"4620416.01",1960.00,215.00,310.00
"4620416.02",1535.00,155.00,370.00
"4620417.01",2560.00,375.00,535.00
"4620417.02",1515.00,385.00,290.00
"4620418.00",3385.00,300.00,475.00
"4620419.00",2500.00,495.00,465.00
"4620420.00",2385.00,195.00,330.00
"4620421.01",4270.00,555.00,840.00
"4620421.02",3955.00,600.00,760.00
"4620430.00",3975.00,350.00,880.00
"4620431.00",2865.00,170.00,670.00
"4620432.00",1475.00,55.00,225.00
"4620433.00",2135.00,195.00,480.00
"4620440.00",,,
"4620450.00",3325.00,125.00,530.00
"4620451.00",3440.00,165.00,685.00
"4620452.00",3190.00,120.00,625.00
"4620453.01",2840.00,120.00,455.00
"4620453.02",2480.00,110.00,455.00
"4620460.00",2565.00,20.00,275.00
"4620461.00",1400.00,20.00,130.00
"4620462.01",2455.00,35.00,310.00
"4620462.02",2960.00,70.00,280.00
"4620470.01",3425.00,70.00,545.00
"4620470.03",2865.00,65.00,405.00
"4620470.04",1930.00,65.00,315.00
"4620470.05",2250.00,80.00,300.00
"4620480.00",1785.00,30.00,235.00
"4620490.00",1315.00,60.00,270.00
"4620491.00",1085.00,25.00,140.00
"4620500.00",445.00,15.00,35.00
"4620511.01",1620.00,135.00,270.00
"4620511.02",3305.00,395.00,700.00
"4620512.02",2275.00,160.00,465.00
"4620512.03",1360.00,95.00,325.00
"4620512.04",3525.00,355.00,950.00
"4620513.01",2785.00,310.00,730.00
"4620513.02",2125.00,205.00,445.00
"4620514.01",3730.00,270.00,835.00
"4620514.02",3405.00,270.00,760.00
"4620515.01",3215.00,195.00,565.00
"4620515.02",2585.00,180.00,460.00
"4620515.03",1880.00,195.00,420.00
"4620515.04",1975.00,160.00,465.00
"4620520.02",3585.00,435.00,950.00
"4620520.03",1955.00,230.00,530.00
"4620520.04",2400.00,315.00,720.00
"4620521.01",2625.00,210.00,675.00
"4620521.04",2495.00,130.00,475.00
"4620521.05",2345.00,120.00,380.00
"4620521.06",2480.00,75.00,295.00
"4620521.07",1965.00,70.00,290.00
"4620522.01",1845.00,95.00,255.00
"4620522.02",1770.00,110.00,335.00
"4620523.00",1185.00,40.00,185.00
"4620530.00",3080.00,230.00,555.00
"4620540.00",1885.00,245.00,425.00
"4620550.02",1840.00,155.00,330.00
"4620550.03",3540.00,130.00,510.00
"4620550.04",2630.00,185.00,535.00
"4620570.00",2180.00,480.00,530.00
"4620580.01",2490.00,370.00,495.00
"4620580.02",2135.00,220.00,505.00
"4620580.03",2200.00,215.00,500.00
"4620581.01",2805.00,535.00,640.00
"4620581.02",2030.00,440.00,490.00
"4620582.01",3465.00,540.00,840.00
"4620582.02",3230.00,580.00,775.00
"4620583.00",1800.00,360.00,410.00
"4620584.00",3805.00,745.00,860.00
"4620585.01",1195.00,90.00,270.00
"4620585.02",1870.00,260.00,540.00
"4620590.01",2835.00,420.00,550.00
"4620590.02",1830.00,290.00,390.00
"4620591.01",1430.00,125.00,225.00
"4620591.02",2075.00,200.00,325.00
"4620592.00",3830.00,400.00,800.00
"4620593.01",1610.00,165.00,350.00
"4620593.02",2350.00,325.00,420.00
"4620594.01",1445.00,225.00,315.00
"4620594.02",3765.00,365.00,720.00
"4620600.01",1930.00,285.00,400.00
"4620600.02",2145.00,310.00,375.00
"4620600.03",2825.00,420.00,605.00
"4620601.01",1540.00,200.00,345.00
"4620601.02",2485.00,300.00,440.00
"4620602.01",1845.00,260.00,380.00
"4620602.02",1465.00,255.00,315.00
"4620603.01",1760.00,240.00,450.00
"4620603.02",1790.00,325.00,440.00
"4620603.03",1870.00,370.00,350.00
"4620604.01",1630.00,195.00,320.00
"4620604.02",2300.00,355.00,440.00
"4620604.03",1585.00,280.00,340.00
"4620604.04",1725.00,225.00,380.00
"4620604.05",2670.00,340.00,600.00
"4620605.01",1735.00,305.00,405.00
"4620605.02",930.00,55.00,175.00
"4620605.03",3010.00,405.00,670.00
"4620605.04",2510.00,350.00,565.00
"4620605.05",1130.00,140.00,255.00
"4620610.01",2490.00,695.00,630.00
"4620610.02",2280.00,565.00,430.00
"4620610.03",2200.00,435.00,440.00
"4620610.04",2035.00,650.00,460.00
"4620610.05",2390.00,800.00,450.00
"4620610.06",1430.00,360.00,295.00
"4620610.07",1455.00,450.00,350.00
"4620611.01",1435.00,435.00,270.00
"4620611.02",2870.00,755.00,560.00
"4620612.00",2480.00,685.00,425.00
"4620613.00",3800.00,905.00,830.00
"4620614.00",1835.00,355.00,415.00
"4620615.00",2835.00,610.00,615.00
"4620616.00",3400.00,805.00,650.00
"4620617.01",2730.00,515.00,550.00
"4620617.02",2100.00,370.00,405.00
"4620618.00",1825.00,390.00,350.00
"4620619.00",2350.00,355.00,360.00
"4620625.01",3425.00,605.00,715.00
"4620625.02",4140.00,535.00,875.00
"4620626.00",3940.00,370.00,705.00
"4620627.00",2975.00,440.00,570.00
"4620628.01",2450.00,315.00,400.00
"4620628.02",1995.00,185.00,370.00
"4620629.00",1720.00,180.00,325.00
"4620630.01",1835.00,105.00,330.00
"4620630.02",2285.00,110.00,315.00
"4620631.00",4410.00,315.00,855.00
"4620632.01",2535.00,340.00,540.00
"4620632.02",2670.00,315.00,515.00
"4620632.03",2520.00,175.00,515.00
"4620632.04",4180.00,400.00,975.00
"4620633.00",2415.00,170.00,370.00
"4620634.00",1630.00,245.00,280.00
"4620635.00",2495.00,370.00,490.00
"4620636.00",3980.00,670.00,795.00
"4620637.01",2600.00,360.00,480.00
"4620637.02",2655.00,395.00,600.00
"4620638.01",3070.00,455.00,535.00
"4620638.02",1155.00,165.00,215.00
"4620638.03",2260.00,370.00,430.00
"4620638.04",3680.00,780.00,685.00
"4620639.00",2035.00,200.00,345.00
"4620640.00",2055.00,265.00,350.00
"4620641.01",4355.00,580.00,855.00
"4620641.02",1965.00,125.00,250.00
"4620642.00",3855.00,480.00,755.00
"4620643.01",3125.00,195.00,485.00
"4620643.02",3285.00,255.00,630.00
"4620643.03",3125.00,585.00,630.00
"4620644.00",635.00,55.00,135.00
"4620645.00",2225.00,485.00,490.00
"4620646.01",1860.00,495.00,495.00
"4620646.02",1880.00,310.00,465.00
"4620646.03",1665.00,330.00,370.00
"4620647.01",1075.00,85.00,240.00
"4620647.02",3390.00,555.00,720.00
"4620648.00",2620.00,495.00,750.00
"4620649.01",1415.00,240.00,325.00
"4620649.02",2660.00,540.00,745.00
"4620650.01",2005.00,370.00,470.00
"4620650.02",2120.00,470.00,505.00
"4620650.04",4140.00,570.00,900.00
"4620650.05",2030.00,230.00,450.00
"4620651.01",3500.00,525.00,730.00
"4620651.02",4260.00,530.00,810.00
"4620652.01",4370.00,290.00,770.00
"4620652.04",2295.00,165.00,570.00
"4620652.06",2325.00,75.00,335.00
"4620652.07",4895.00,290.00,805.00
"4620652.08",2760.00,265.00,395.00
"4620652.09",2440.00,310.00,460.00
"4620653.00",470.00,10.00,35.00
"4620654.00",290.00,0.00,30.00
"4620655.01",2470.00,410.00,580.00
"4620655.02",3750.00,555.00,770.00
"4620656.01",3660.00,535.00,765.00
"4620656.03",2110.00,255.00,490.00
"4620656.04",4030.00,450.00,770.00
"4620657.01",1895.00,215.00,375.00
"4620657.02",3100.00,395.00,680.00
"4620657.03",2525.00,330.00,495.00
"4620658.01",2325.00,350.00,555.00
"4620658.02",1700.00,190.00,395.00
"4620658.03",4455.00,460.00,890.00
"4620659.04",2630.00,120.00,355.00
"4620659.05",4180.00,190.00,650.00
"4620659.06",1960.00,225.00,370.00
"4620659.08",3640.00,310.00,710.00
"4620659.09",1900.00,175.00,340.00
"4620659.1",1865.00,105.00,210.00
"4620659.11",3460.00,465.00,625.00
"4620660.01",3235.00,235.00,555.00
"4620660.02",2905.00,340.00,565.00
"4620660.03",3790.00,210.00,785.00
"4620661.01",5530.00,490.00,1020.00
"4620661.03",2480.00,235.00,440.00
"4620661.04",2565.00,280.00,540.00
"4620662.00",2565.00,370.00,500.00
"4620675.00",2505.00,380.00,555.00
"4620676.01",1795.00,165.00,335.00
"4620676.02",1360.00,155.00,325.00
"4620676.03",1170.00,120.00,285.00
"4620676.04",1625.00,150.00,410.00
"4620677.01",3055.00,455.00,605.00
"4620677.02",2595.00,470.00,620.00
"4620677.05",2695.00,140.00,475.00
"4620677.06",4595.00,255.00,725.00
"4620677.07",2220.00,240.00,540.00
"4620677.08",4245.00,315.00,930.00
"4620677.09",2440.00,230.00,540.00
"4620677.1",2250.00,200.00,445.00
"4620681.00",1990.00,280.00,450.00
"4620682.02",1260.00,170.00,315.00
"4620682.03",4315.00,420.00,890.00
"4620682.04",1960.00,275.00,480.00
"4620682.05",1660.00,280.00,430.00
"4620682.06",2775.00,310.00,530.00
"4620683.00",3270.00,535.00,745.00
"4620684.03",5135.00,390.00,960.00
"4620684.05",3075.00,350.00,625.00
"4620684.08",3210.00,275.00,625.00
"4620684.09",1895.00,200.00,350.00
"4620684.1",2150.00,240.00,395.00
"4620684.11",2490.00,265.00,480.00
"4620685.02",2265.00,290.00,610.00
"4620685.03",3405.00,405.00,735.00
"4620685.04",1770.00,240.00,405.00
"4620685.05",2400.00,295.00,520.00
"4620685.07",3060.00,310.00,615.00
"4620685.08",5395.00,390.00,900.00
"4620686.01",3230.00,415.00,685.00
"4620686.02",2250.00,355.00,505.00
"4620686.03",1905.00,325.00,430.00
"4620687.01",2485.00,245.00,550.00
"4620687.03",5575.00,480.00,950.00
"4620687.04",2585.00,280.00,575.00
"4620687.06",3055.00,285.00,655.00
"4620687.07",3300.00,340.00,675.00
"4620687.09",1970.00,280.00,475.00
"4620687.1",4915.00,670.00,1045.00
"4620688.02",1615.00,290.00,390.00
"4620688.03",2900.00,630.00,620.00
"4620688.04",3040.00,510.00,710.00
"4620689.01",3825.00,675.00,840.00
"4620689.02",1950.00,415.00,470.00
"4620689.03",4420.00,735.00,1005.00
"4620689.04",3210.00,535.00,645.00
"4620690.00",4040.00,735.00,985.00
"4620691.00",3475.00,640.00,870.00
"4620692.00",5085.00,545.00,980.00
"4620693.00",2625.00,525.00,580.00
"4620694.00",4425.00,530.00,915.00
"4620700.01",2380.00,545.00,555.00
"4620700.03",1325.00,295.00,325.00
"4620700.04",2470.00,435.00,555.00
"4620701.01",1915.00,180.00,360.00
"4620701.02",3545.00,480.00,835.00
"4620702.01",1325.00,60.00,205.00
"4620702.02",3580.00,115.00,530.00
"4620703.02",1945.00,110.00,340.00
"4620703.03",2265.00,125.00,450.00
"4620703.04",2950.00,100.00,435.00
"4620704.01",2710.00,615.00,605.00
"4620704.04",2470.00,200.00,560.00
"4620704.05",3445.00,250.00,755.00
"4620704.06",990.00,85.00,210.00
"4620704.08",2145.00,330.00,660.00
"4620704.09",2650.00,255.00,480.00
"4620705.01",1665.00,60.00,190.00
"4620705.02",2520.00,385.00,455.00
"4620706.00",2190.00,375.00,460.00
"4620707.00",2120.00,440.00,505.00
"4620708.01",2570.00,475.00,535.00
"4620708.02",2270.00,230.00,510.00
"4620709.01",4615.00,495.00,895.00
"4620709.02",3520.00,390.00,690.00
"4620710.03",4865.00,565.00,820.00
"4620710.05",4110.00,275.00,700.00
"4620710.06",1925.00,150.00,290.00
"4620710.07",2655.00,270.00,540.00
"4620710.08",2370.00,350.00,585.00
"4620710.09",2845.00,75.00,355.00
"4620710.1",2450.00,45.00,295.00
"4620710.11",1560.00,160.00,280.00
"4620725.03",1950.00,315.00,450.00
"4620725.04",1795.00,240.00,440.00
"4620725.06",915.00,225.00,200.00
"4620725.07",3685.00,345.00,710.00
