GEOUID,COL7,COL10
4620400,8.2,5.6
4620401,8.8,5.9
4620402,9.2,5.8
4620403,8.5,6.9
4620404,9.7,7
4620410.01,15.7,11
4620410.02,20,10
4620410.03,15.2,13
4620412,11.9,10.6
4620413.01,5,7.6
4620413.02,15.8,11.7
4620415.03,18.4,7.7
4620415.04,17,11
4620415.05,5.8,3.9
4620415.06,6.1,5.9
4620416.01,6.2,10.2
4620416.02,11.9,9.4
4620417.01,15.6,9.8
4620417.02,29,15.4
4620418,16.9,11.3
4620419,27.6,13.8
4620420,10.7,6.8
4620421.01,31.9,16.7
4620421.02,28.6,16
4620430,12.2,6
4620431,9.8,8.2
4620432,5.4,4.6
4620433,6.2,4.5
4620440,,
4620450,7,5.7
4620451,6.6,4.5
4620452,9.9,7.1
4620453.01,3.5,6.4
4620453.02,5.2,8.1
4620460,3.8,6
4620461,5.2,6.4
4620462.01,5.3,5.2
4620462.02,5.1,5.6
4620470.01,4.8,6.8
4620470.03,3.6,5.5
4620470.04,4.1,6.1
4620470.05,4.8,4.6
4620480,5.7,7
4620490,23,11.2
4620491,1.5,5
4620500,7.1,3.3
4620511.01,7.4,7.1
4620511.02,17.7,10.1
4620512.02,9.4,8.6
4620512.03,13.6,7.8
4620512.04,9.4,8.7
4620513.01,9.6,7.7
4620513.02,16.9,9
4620514.01,8.7,6.4
4620514.02,7.1,6.6
4620515.01,6,6.6
4620515.02,7.3,8.7
4620515.03,7.4,8.5
4620515.04,8.6,8.2
4620520.02,7.9,8.9
4620520.03,10.3,7.9
4620520.04,10.9,9.2
4620521.01,9,7.1
4620521.04,6.8,6.7
4620521.05,5.3,7.6
4620521.06,5.7,5
4620521.07,5.5,5.5
4620522.01,4.9,8.6
4620522.02,7.6,4.8
4620523,4.9,4.7
4620530,6.3,7
4620540,18.9,11.1
4620550.02,6.4,6.2
4620550.03,4,5.7
4620550.04,4.8,5.4
4620570,17.9,7.8
4620580.01,11.5,6.4
4620580.02,6.5,3.9
4620580.03,6.2,4
4620581.01,9.5,7.8
4620581.02,17.2,8.6
4620582.01,10.6,7.2
4620582.02,11.8,8.6
4620583,8.3,6.2
4620584,16.3,6.5
4620585.01,4.3,4
4620585.02,12.6,6.9
4620590.01,13.6,9
4620590.02,19.7,13.5
4620591.01,9.7,8.1
4620591.02,11.9,7.3
4620592,15.4,10.5
4620593.01,7.5,8.5
4620593.02,15.3,12
4620594.01,17.6,12.1
4620594.02,9.2,8.3
4620600.01,15.4,11.8
4620600.02,22.3,14.4
4620600.03,18.2,13
4620601.01,13.7,11.2
4620601.02,19.5,10.2
4620602.01,15.2,12.1
4620602.02,20.2,14.9
4620603.01,17,12.3
4620603.02,13.7,11.4
4620603.03,19.1,9.8
4620604.01,5.9,6.5
4620604.02,17.4,9.8
4620604.03,16.1,8.9
4620604.04,16.6,10.6
4620604.05,11.9,10.1
4620605.01,16.9,8.5
4620605.02,5.5,6.6
4620605.03,17.7,13.1
4620605.04,12.2,11.2
4620605.05,8.8,11.3
4620610.01,24.7,14
4620610.02,16.6,7.8
4620610.03,14.8,10.7
4620610.04,33,13.6
4620610.05,37.1,18.1
4620610.06,17.9,12.2
4620610.07,31.8,15.2
4620611.01,20.2,10.7
4620611.02,20.3,10.8
4620612,22.4,12.3
4620613,20.6,14.1
4620614,20.5,12
4620615,20.3,15
4620616,21.6,14.2
4620617.01,15.5,11.1
4620617.02,14.3,9.8
4620618,20.1,9
4620619,21.6,10.9
4620625.01,4.7,8.2
4620625.02,4.8,6.3
4620626,4.5,6.9
4620627,10.6,6.9
4620628.01,9,8.1
4620628.02,9.1,6.9
4620629,5,6.3
4620630.01,2.7,4.6
4620630.02,3.5,4.4
4620631,3.1,5.7
4620632.01,6.3,6.5
4620632.02,7.8,5.6
4620632.03,5.4,7
4620632.04,6.4,5.8
4620633,6.2,6.5
4620634,9.9,7.4
4620635,16.7,9.6
4620636,14.5,10.5
4620637.01,6.4,7.4
4620637.02,15.9,8.5
4620638.01,12.3,7.6
4620638.02,8.8,4.4
4620638.03,16.5,5.8
4620638.04,21.5,10.7
4620639,16.3,9.4
4620640,14.9,6.2
4620641.01,14.1,9.2
4620641.02,8,6.4
4620642,15.5,10.4
4620643.01,5.6,4.5
4620643.02,15.9,7.4
4620643.03,16.6,12.3
4620644,9.1,7.1
4620645,22,11.6
4620646.01,28.6,15.2
4620646.02,16.9,11.6
4620646.03,18.6,8.5
4620647.01,10.3,7
4620647.02,15.1,10.5
4620648,11.3,10.4
4620649.01,10.6,9.9
4620649.02,11.8,8.3
4620650.01,11.5,8.5
4620650.02,17.8,10.9
4620650.04,9.8,8.9
4620650.05,10.2,7.3
4620651.01,7.4,7.6
4620651.02,3.7,5.6
4620652.01,5.2,4.2
4620652.04,5.1,4.9
4620652.06,4.6,6.1
4620652.07,3.3,5.7
4620652.08,4.3,5.7
4620652.09,5,5.9
4620653,2.1,2
4620654,4.7,4.1
4620655.01,10.6,7.9
4620655.02,7.9,6
4620656.01,6,6.3
4620656.03,5.1,5.1
4620656.04,2.8,6.6
4620657.01,6.9,4.8
4620657.02,5.3,6.7
4620657.03,3.9,5.3
4620658.01,5.5,6.5
4620658.02,3.3,6.5
4620658.03,4.3,5.5
4620659.04,1.9,3.8
4620659.05,3.6,5
4620659.06,6.2,8.5
4620659.08,3.3,6.3
4620659.09,1.8,6.7
4620659.1,1.6,5
4620659.11,9.5,7.1
4620660.01,2.2,6
4620660.02,6,6.3
4620660.03,3.7,6.3
4620661.01,5.5,6.3
4620661.03,3.6,6
4620661.04,4.2,4.6
4620662,3.1,4.5
4620675,11.1,7.2
4620676.01,7.5,6.4
4620676.02,3.4,4.6
4620676.03,3.3,6.9
4620676.04,3.5,6.5
4620677.01,8,4.6
4620677.02,10.3,8.6
4620677.05,2.7,4.1
4620677.06,2.9,4.3
4620677.07,6.2,4.7
4620677.08,3,5.2
4620677.09,4.6,5
4620677.1,4.4,3.4
4620681,2.1,5.7
4620682.02,8,7.2
4620682.03,4.5,6.3
4620682.04,5.9,6.1
4620682.05,3.8,4.8
4620682.06,2.8,6
4620683,10.8,7.4
4620684.03,2.7,4.9
4620684.05,4.2,4.6
4620684.08,3.3,4.7
4620684.09,3.2,5
4620684.1,4.5,6.6
4620684.11,5.6,5
4620685.02,5.3,7.2
4620685.03,5.8,4.5
4620685.04,2.3,3.7
4620685.05,6.4,6.8
4620685.07,2.8,4
4620685.08,4.1,3.5
4620686.01,4.1,5.4
4620686.02,6.3,5.3
4620686.03,5.4,5.2
4620687.01,5.1,6.7
4620687.03,3.7,5.1
4620687.04,4.7,6.9
4620687.06,5.5,6.2
4620687.07,3.7,5.7
4620687.09,3.3,5.6
4620687.1,4,4.8
4620688.02,2.8,6.2
4620688.03,3.1,5.8
4620688.04,3.2,6.6
4620689.01,5.8,7.8
4620689.02,5.2,5.6
4620689.03,7.5,9.5
4620689.04,5.4,7.7
4620690,3.5,6.8
4620691,3.9,9
4620692,2.7,4.8
4620693,5.5,9.3
4620694,1.8,5.3
4620700.01,17.7,6.4
4620700.03,11.6,8.5
4620700.04,13.5,6.9
4620701.01,4.6,6.3
4620701.02,8.4,6.3
4620702.01,2.6,5.5
4620702.02,3.6,4.3
4620703.02,5.1,5.4
4620703.03,4.4,7
4620703.04,3.2,3.9
4620704.01,13.1,8
4620704.04,2.2,5.4
4620704.05,4.1,5.8
4620704.06,6.7,7.4
4620704.08,6.7,7.1
4620704.09,5,4.4
4620705.01,1.9,5.1
4620705.02,10.2,6.3
4620706,18.6,9.1
4620707,22,6.6
4620708.01,14.5,7.1
4620708.02,9.4,4.3
4620709.01,4.5,3.9
4620709.02,6.6,5.6
4620710.03,4.8,6.1
4620710.05,2.3,3.5
4620710.06,3.8,4.8
4620710.07,4.5,6.5
4620710.08,9,5.1
4620710.09,2.8,4.6
4620710.1,2,4.8
4620710.11,4.6,5.6
4620725.03,7.2,7.8
4620725.04,5,8
4620725.06,5.9,5.7
4620725.07,2.8,5
4620725.09,2.1,5.4
4620725.1,3.6,3.7
4620726.01,10.1,8
4620726.03,13.5,10.8
4620726.04,2.1,2.8
4620727.01,15.5,10.8
4620727.02,14.6,7
4620728.01,5.7,5.7
4620728.02,6.9,6.8
4620728.03,6.8,6.3
4620729,12.9,5.7
4620730.01,2.8,5.5
4620730.02,6.7,7.1
4620731,10,8.7
4620732.01,3.6,4.8
4620732.03,,
4620732.04,4.5,5.1
4620733.01,3.6,5.7
4620733.02,5.6,6.1
4620734.03,1.9,4.2
